Id,Neighborhood,OverallQual,OverallCond,GrLivArea,FullBath,HalfBath,TotRmsAbvGrd,YrSold,SalePrice
1,CollgCr,7,5,1710,2,1,8,2008,208500
2,Veenker,6,8,1262,2,0,6,2007,181500
3,CollgCr,7,5,1786,2,1,6,2008,223500
4,Crawfor,7,5,1717,1,0,7,2006,140000
5,NoRidge,8,5,2198,2,1,9,2008,250000
6,Mitchel,5,5,1362,1,1,5,2009,143000
7,Somerst,8,5,1694,2,0,7,2007,307000
8,NWAmes,7,6,2090,2,1,7,2009,200000
9,OldTown,7,5,1774,2,0,8,2008,129900
10,BrkSide,5,6,1077,1,0,5,2008,118000
11,Sawyer,5,5,1040,1,0,5,2008,129500
12,NridgHt,9,5,2324,3,0,11,2006,345000
13,Sawyer,5,6,912,1,0,4,2008,144000
14,CollgCr,7,5,1494,2,0,7,2007,279500
15,NAmes,6,5,1253,1,1,5,2008,157000
16,BrkSide,7,8,854,1,0,5,2007,132000
17,NAmes,6,7,1004,1,0,5,2010,149000
18,Sawyer,4,5,1296,2,0,6,2006,90000
19,SawyerW,5,5,1114,1,1,6,2008,159000
20,NAmes,5,6,1339,1,0,6,2009,139000
21,NridgHt,8,5,2376,3,1,9,2006,325300
22,IDOTRR,7,7,1108,1,0,6,2007,139400
23,CollgCr,8,5,1795,2,0,7,2008,230000
24,MeadowV,5,7,1060,1,0,6,2007,129900
25,Sawyer,5,8,1060,1,0,6,2010,154000
26,NridgHt,8,5,1600,2,0,7,2009,256300
27,NAmes,5,7,900,1,0,5,2010,134800
28,NridgHt,8,5,1704,2,0,7,2010,306000
29,NAmes,5,6,1600,1,0,6,2006,207500
30,BrkSide,4,6,520,1,0,4,2008,68500
31,IDOTRR,4,4,1317,1,0,6,2008,40000
32,Sawyer,5,6,1228,1,1,6,2008,149350
33,CollgCr,8,5,1234,2,0,7,2008,179900
34,NAmes,5,5,1700,1,1,6,2010,165500
35,NridgHt,9,5,1561,2,0,6,2007,277500
36,NridgHt,8,5,2452,3,1,9,2006,309000
37,CollgCr,5,5,1097,1,1,6,2009,145000
38,NAmes,5,6,1297,1,0,5,2009,153000
39,NAmes,5,7,1057,1,0,5,2010,109000
40,Edwards,4,5,1152,2,0,6,2008,82000
41,NAmes,6,5,1324,2,0,6,2006,160000
42,Timber,5,6,1328,1,1,5,2007,170000
43,SawyerW,5,7,884,1,0,5,2007,144000
44,CollgCr,5,6,938,1,0,5,2008,130250
45,NAmes,5,6,1150,1,0,6,2006,141000
46,NridgHt,9,5,1752,2,0,6,2010,319900
47,Mitchel,7,5,2149,1,1,6,2009,239686
48,Somerst,8,5,1656,2,0,7,2007,249700
49,OldTown,4,5,1452,2,0,8,2009,113000
50,Sawyer,5,7,955,1,0,6,2007,127000
51,Gilbert,6,6,1470,2,0,6,2007,177000
52,BrkSide,6,6,1176,1,0,6,2006,114500
53,IDOTRR,5,5,816,1,0,5,2010,110000
54,Veenker,9,5,1842,0,1,5,2006,385000
55,NAmes,5,5,1360,1,0,6,2007,130000
56,NAmes,6,5,1425,2,0,7,2008,180500
57,Somerst,8,5,1739,2,1,7,2009,172500
58,CollgCr,7,5,1720,2,1,7,2006,196500
59,StoneBr,10,5,2945,3,1,10,2006,438780
60,CollgCr,5,7,780,1,0,4,2008,124900
61,SawyerW,6,5,1158,1,1,5,2006,158000
62,IDOTRR,5,7,1111,1,0,6,2007,101000
63,NridgHt,8,5,1370,2,0,6,2007,202500
64,OldTown,7,6,1710,2,0,9,2010,140000
65,CollgCr,7,5,2034,2,1,8,2009,219500
66,NridgHt,8,5,2473,2,1,9,2007,317000
67,NAmes,7,5,2207,2,0,7,2010,180000
68,CollgCr,7,5,1479,2,0,7,2007,226000
69,OldTown,4,6,747,1,0,4,2010,80000
70,ClearCr,7,4,2287,2,0,7,2006,225000
71,NAmes,7,6,2223,2,0,8,2007,244000
72,Mitchel,4,6,845,1,0,4,2007,129500
73,Gilbert,7,5,1718,2,1,7,2009,185000
74,NAmes,5,7,1086,1,0,6,2010,144900
75,OldTown,3,6,1605,2,0,8,2010,107400
76,MeadowV,4,5,988,1,0,5,2009,91000
77,NAmes,4,7,952,1,0,4,2008,135750
78,BrkSide,5,5,1285,1,0,6,2008,127000
79,Sawyer,4,5,1768,2,0,8,2010,136500
80,OldTown,5,6,1230,1,1,5,2009,110000
81,NAmes,6,6,2142,2,1,8,2009,193500
82,Mitchel,6,5,1337,2,0,5,2006,153500
83,Somerst,8,5,1563,2,0,6,2008,245000
84,NAmes,5,5,1065,1,1,6,2007,126500
85,Gilbert,7,5,1474,2,1,7,2009,168500
86,NoRidge,8,5,2417,2,1,9,2006,260000
87,Gilbert,6,5,1560,2,1,6,2009,174000
88,Somerst,6,5,1224,2,1,4,2009,164500
89,IDOTRR,3,2,1526,1,0,6,2009,85000
90,CollgCr,4,5,990,1,0,5,2007,123600
91,NAmes,4,5,1040,1,0,4,2006,109900
92,NAmes,5,3,1235,1,0,6,2006,98600
93,Crawfor,5,7,964,1,0,5,2009,163500
94,OldTown,6,6,2291,2,0,9,2007,133900
95,CollgCr,6,5,1786,2,1,7,2007,204750
96,Gilbert,6,8,1470,2,1,6,2009,185000
97,CollgCr,7,5,1588,2,0,6,2006,214000
98,Edwards,4,5,960,1,0,6,2007,94750
99,Edwards,5,5,835,1,0,5,2010,83000
100,NAmes,4,5,1225,1,1,6,2010,128950
101,NWAmes,6,7,1610,2,0,6,2010,205000
102,SawyerW,6,5,1732,2,1,7,2010,178000
103,SawyerW,5,5,1535,2,0,8,2009,118964
104,CollgCr,7,5,1226,2,0,6,2010,198900
105,IDOTRR,7,4,1818,1,1,7,2007,169500
106,Somerst,8,5,1992,2,1,9,2008,250000
107,OldTown,4,7,1047,1,0,6,2007,100000
108,OldTown,5,5,789,1,0,5,2008,115000
109,IDOTRR,5,7,1517,2,0,7,2007,115000
110,NWAmes,6,6,1844,2,0,7,2010,190000
111,Edwards,6,4,1855,2,0,7,2006,136900
112,Gilbert,7,5,1430,2,1,7,2010,180000
113,CollgCr,7,5,2696,2,1,10,2007,383970
114,Crawfor,6,5,2259,2,0,7,2007,217000
115,Crawfor,6,8,2320,2,1,9,2007,259500
116,Somerst,6,5,1458,2,1,5,2007,176000
117,Sawyer,5,5,1092,1,0,6,2009,139000
118,Edwards,5,5,1125,1,1,5,2007,155000
119,SawyerW,7,5,3222,3,0,11,2010,320000
120,CollgCr,6,5,1456,2,1,8,2006,163990
121,ClearCr,6,5,988,1,0,4,2006,180000
122,IDOTRR,4,5,1123,1,0,4,2007,100000
123,NAmes,6,7,1080,1,0,5,2008,136000
124,SawyerW,6,5,1199,2,0,5,2008,153900
125,NWAmes,6,5,1586,2,0,7,2009,181000
126,IDOTRR,6,8,754,1,0,5,2006,84500
127,NPkVill,6,5,958,2,0,5,2007,128000
128,OldTown,5,7,840,1,0,5,2007,87000
129,NAmes,6,5,1348,1,1,6,2006,155000
130,NAmes,5,7,1053,1,1,6,2006,150000
131,NAmes,7,6,2157,2,1,8,2006,226000
132,Gilbert,6,5,2054,2,1,7,2009,244000
